,created_at,id,id_str,sentiment,School_reopening,2020Election,News_State_Economy,Policies_Mask_Safty,General_Critics,dominant_topic
54,2020-08-08 23:50:52+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.6,0.1,0.1,2
55,2020-08-08 23:50:47+00:00,1.29E+18,1.29E+18,-1,0.02,0.62,0.2,0.02,0.14,1
56,2020-08-08 23:50:45+00:00,1.29E+18,1.29E+18,1,0.02,0.44,0.02,0.49,0.02,3
57,2020-08-08 23:50:27+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.59,0.1,0.1,2
58,2020-08-08 23:50:17+00:00,1.29E+18,1.29E+18,-1,0.03,0.29,0.03,0.03,0.63,4
59,2020-08-08 23:50:11+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
60,2020-08-08 23:50:08+00:00,1.29E+18,1.29E+18,1,0.05,0.05,0.05,0.8,0.05,3
61,2020-08-08 23:50:06+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.6,0.1,0.1,2
62,2020-08-08 23:49:57+00:00,1.29E+18,1.29E+18,1,0.73,0.07,0.07,0.07,0.07,0
63,2020-08-08 23:49:18+00:00,1.29E+18,1.29E+18,1,0.07,0.07,0.07,0.07,0.73,4
64,2020-08-08 23:49:13+00:00,1.29E+18,1.29E+18,1,0.03,0.27,0.22,0.03,0.44,4
65,2020-08-08 23:48:53+00:00,1.29E+18,1.29E+18,-1,0.04,0.04,0.04,0.84,0.04,3
66,2020-08-08 23:48:45+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.59,0.1,0.1,2
67,2020-08-08 23:48:44+00:00,1.29E+18,1.29E+18,0,0.1,0.6,0.1,0.1,0.1,1
68,2020-08-08 23:48:44+00:00,1.29E+18,1.29E+18,0,0.8,0.05,0.05,0.05,0.05,0
69,2020-08-08 23:48:42+00:00,1.29E+18,1.29E+18,0,0.1,0.6,0.1,0.1,0.1,1
